Time,Crosshead separation,Load,Extensometer elongation
(sec),(mm),(kN),(%)
23.168,3.66952,48.12737,0.49859
23.268,3.67172,48.12929,0.50113
23.368,3.67388,48.12705,0.50375
23.468,3.67596,48.12387,0.5063
23.568,3.67804,48.12106,0.5088
23.668,3.68016,48.11965,0.51132
23.768,3.68224,48.11783,0.51376
23.868,3.68428,48.11555,0.51628
23.968,3.6864,48.1163,0.51871
24.068,3.68852,48.11827,0.5212
24.168,3.6906,48.11765,0.52378
24.268,3.69268,48.11849,0.52625
24.368,3.69476,48.11896,0.52869
24.468,3.69684,48.12089,0.53122
24.568,3.69884,48.11869,0.53374
24.668,3.701,48.11917,0.53569
24.768,3.704,48.15113,0.5371
24.868,3.70684,48.18122,0.54012
24.968,3.7094,48.19362,0.54315
25.068,3.71156,48.18749,0.54629
25.168,3.71348,48.17056,0.5492
25.268,3.7152,48.14794,0.55198
25.368,3.71676,48.12333,0.55474
25.468,3.71832,48.09952,0.55728
25.568,3.71984,48.07904,0.55977
25.668,3.7214,48.06311,0.56217
25.768,3.72304,48.05358,0.56451
25.868,3.72476,48.04881,0.56695
25.968,3.72656,48.05024,0.56925
26.068,3.72848,48.05548,0.57166
26.168,3.7304,48.06248,0.57412
26.268,3.73224,48.06556,0.57665
26.368,3.73416,48.0671,0.57909
26.468,3.73604,48.07024,0.58158
26.568,3.73796,48.07282,0.58414
26.668,3.73972,48.06938,0.58679
26.768,3.74148,48.06456,0.58933
26.868,3.7432,48.0567,0.59187
26.968,3.74496,48.05601,0.59431
27.068,3.74672,48.0541,0.59686
27.168,3.74844,48.05138,0.5994
27.268,3.75016,48.04999,0.60189
27.368,3.75188,48.04834,0.60446
27.468,3.75352,48.04543,0.60696
27.568,3.75516,48.04103,0.60947
27.668,3.75684,48.0365,0.6119
27.768,3.75852,48.03384,0.61436
27.868,3.76016,48.03074,0.61693
27.968,3.76176,48.02942,0.6194
28.068,3.7634,48.02609,0.62183
28.168,3.76508,48.02583,0.62423
28.268,3.76676,48.02604,0.62671
28.368,3.76844,48.02402,0.62919
28.468,3.77016,48.02793,0.63159
28.568,3.77188,48.03159,0.63415
28.668,3.7736,48.03279,0.63669
28.768,3.77532,48.03202,0.63927
28.868,3.777,48.02833,0.6418
28.968,3.77872,48.03047,0.64429
29.068,3.78036,48.02929,0.64692
29.168,3.78192,48.02408,0.64951
29.268,3.78352,48.0197,0.65197
29.368,3.78512,48.01701,0.65445
29.468,3.78668,48.01586,0.65694
29.568,3.78828,48.01211,0.65941
29.668,3.78988,48.01097,0.66181
29.768,3.79148,48.01284,0.66431
29.868,3.793,48.01034,0.66683
29.968,3.79456,48.00674,0.66927
30.068,3.79608,48.00432,0.67172
30.168,3.79772,48.00591,0.67415
30.268,3.79932,48.00673,0.67662
30.368,3.80088,48.00727,0.67925
30.468,3.80244,48.0082,0.68175
30.568,3.804,48.0052,0.68422
30.668,3.8056,48.00601,0.68666
30.768,3.80716,48.00749,0.68916
30.868,3.8088,48.00873,0.69162
30.968,3.81044,48.01332,0.69406
31.068,3.81204,48.01719,0.69662
31.168,3.81364,48.01815,0.69914
31.268,3.81524,48.01958,0.70166
31.368,3.8168,48.01888,0.70417
31.468,3.8184,48.02132,0.70665
31.568,3.81996,48.02092,0.70917
31.668,3.82152,48.02131,0.71168
31.768,3.82308,48.02326,0.71416
31.868,3.82464,48.02291,0.71667
31.968,3.8262,48.02374,0.71913
32.068,3.82772,48.02438,0.72168
32.168,3.82928,48.02477,0.72417
32.268,3.8308,48.02378,0.72666
32.368,3.83232,48.02295,0.72924
32.468,3.83384,48.0235,0.73173
32.568,3.83536,48.02335,0.7342
32.668,3.83688,48.02423,0.73668
32.768,3.83844,48.02576,0.73922
32.868,3.83996,48.0267,0.74178
32.968,3.84152,48.02831,0.74426
33.068,3.84312,48.03114,0.74678
33.168,3.84468,48.0331,0.74938
